YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT GOOD"
1988,"US TOTAL","  ","  ","   ","WEEK #26",CORN,23,6,21,48,2," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #27",CORN,32,18,13,36,1," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #28",CORN,32,18,16,32,2," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #29",CORN,32,13,18,35,2," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #30",CORN,33,15,16,33,3," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #31",CORN,33,18,15,31,3," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #32",CORN,36,16,15,30,3," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #33",CORN,38,15,14,31,2," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #34",CORN,34,12,15,36,3," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #35",CORN,36,10,14,37,3," "," "," "," "," "," "," "," "," "," "
1988,"US TOTAL","  ","  ","   ","WEEK #36",CORN,34,11,17,36,2," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #22",CORN,4,1,57,31,7," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #23",CORN,4,1,56,31,8," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #24",CORN,4,1,55,32,8," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #25",CORN,4,1,57,30,8," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #26",CORN,3," ",62,24,11," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #27",CORN,5,1,51,33,10," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #28",CORN,8,1,49,33,9," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #29",CORN,3,1,58,26,12," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #30",CORN,5,1,56,23,15," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #31",CORN,5,1,55,23,16," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #32",CORN,8,3,51,26,12," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #33",CORN,11,3,46,27,13," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #34",CORN,11,3,46,27,13," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #35",CORN,8,3,50,25,14," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #36",CORN,7,2,52,26,13," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #37",CORN,6,2,56,24,12," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #38",CORN,6,2,53,25,14," "," "," "," "," "," "," "," "," "," "
1989,"US TOTAL","  ","  ","   ","WEEK #39",CORN,8,2,54,24,12," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #22",CORN,6,1,45,42,6," "," "," "," "," "," "," "," "," "," "
